dataset_family,file_module_id,code_churn,commit_count,num_developers,bugfix_commit_count,days_since_last_modified,lines_added,lines_deleted,numberOfRefactoringsUntil,maxLinesAddedUntil,avgLinesAddedUntil,maxLinesRemovedUntil,avgLinesRemovedUntil,maxCodeChurnUntil,avgCodeChurnUntil,weightedAgeWithRespectTo,numberOfBugsFoundUntil,numberOfNonTrivialBugsFoundUntil,numberOfMajorBugsFoundUntil,numberOfCriticalBugsFoundUntil,numberOfHighPriorityBugsFoundUntil,CvsEntropy,CvsWEntropy,CvsLinEntropy,CvsLogEntropy,CvsExpEntropy
aeeem,org::apache::lucene::search::PhraseScorer,53.0,18,8,3,368.143,322.0,269.0,0,120.0,17.8889,82.0,14.9444,38.0,2.94444,125.349,2,2,0,0,0,2.6029,0.026718,0.0057418,0.0681672,0.00340696
aeeem,org::apache::lucene::analysis::WordlistLoader,11.0,9,4,1,216.286,83.0,72.0,0,32.0,9.22222,29.0,8.0,32.0,1.22222,70.0826,1,1,0,0,0,7.75655,0.206158,0.013608,0.190306,0.0072202
aeeem,org::apache::lucene::analysis::CharTokenizer,-23.0,10,6,0,349.857,84.0,107.0,0,27.0,8.4,51.0,10.7,9.0,-2.3,198.361,3,3,0,0,0,5.46076,0.0423946,0.0445186,0.210853,0.12351
aeeem,org::apache::lucene::benchmark::byTask::tasks::ResetSystemEraseTask,-8.0,4,3,0,90.5714,52.0,60.0,0,48.0,13.0,48.0,15.0,0.0,-2.0,11.467,2,2,0,0,0,4.08464,0.017208,0.0105405,0.111471,0.0103927
aeeem,org::apache::lucene::queryParser::surround::query::ComposedQuery,1.0,3,3,0,170.143,8.0,7.0,0,6.0,2.66667,5.0,2.33333,1.0,0.333333,73.4286,1,1,0,0,0,3.9126,0.0091715,0.0563791,0.210955,0.108084
aeeem,org::apache::lucene::xmlparser::builders::SpanBuilderBase,15.0,2,1,0,136.571,17.0,2.0,0,16.0,8.5,1.0,1.0,15.0,7.5,45.042,0,0,0,0,0,2.42975,0.0199393,0.0044811,0.0606869,0.00162176
aeeem,org::apache::lucene::store::Directory,113.0,22,6,3,368.143,241.0,128.0,0,45.0,10.9545,51.0,5.81818,45.0,5.13636,217.232,11,11,0,0,0,11.9647,0.189867,0.119783,3.59951,0.218627
aeeem,org::apache::lucene::xmlparser::builders::DuplicateFilterBuilder,-2.0,2,2,0,53.1429,2.0,4.0,0,1.0,1.0,3.0,2.0,0.0,-1.0,24.9286,1,1,0,0,0,2.24283,0.00352988,0.0555838,0.176221,0.114048
aeeem,org::apache::lucene::xmlparser::builders::BooleanQueryBuilder,11.0,7,2,1,136.571,37.0,26.0,0,16.0,5.28571,12.0,3.71429,15.0,1.57143,35.1892,1,1,0,0,0,7.59491,0.0717043,0.0627134,0.301601,0.109454
aeeem,org::apache::lucene::index::DocInverterPerField,-8.0,2,1,0,11.7143,3.0,11.0,1,2.0,1.5,10.0,5.5,0.0,-4.0,3.14286,2,2,0,0,0,2.2048,0.00530609,0.0438039,0.136638,0.145088
aeeem,org::apache::lucene::analysis::el::GreekLowerCaseFilter,-6.0,3,3,0,180.286,9.0,15.0,0,8.0,3.0,13.0,5.0,0.0,-2.0,154.032,2,2,0,0,0,4.01034,0.0133112,0.0849614,0.270262,0.206211
aeeem,org::apache::lucene::index::ReadOnlySegmentReader,0.0,1,1,0,6.57143,1.0,1.0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0,1.35264,0.000832763,0.0350566,0.101164,0.0995792
aeeem,org::apache::lucene::search::spans::SpanNotQuery,86.0,11,7,2,244.714,108.0,22.0,0,26.0,9.81818,8.0,2.0,22.0,7.81818,113.093,4,4,0,0,0,8.83948,0.267342,0.0428683,0.271437,0.101025
aeeem,org::apache::lucene::benchmark::byTask::tasks::RepSumByNameTask,36.0,3,2,0,90.5714,82.0,46.0,0,43.0,27.3333,43.0,15.3333,36.0,12.0,10.3537,1,1,0,0,0,3.28866,0.0170226,0.00774168,0.0876976,0.00527147
aeeem,org::apache::lucene::index::InvertedDocEndConsumer,0.0,1,1,0,11.7143,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
aeeem,org::apache::lucene::search::highlight::SpanGradientFormatter,-1.0,3,3,0,190.0,7.0,8.0,0,6.0,2.33333,5.0,2.66667,1.0,-0.333333,95.7143,1,1,0,0,0,4.04759,0.0130581,0.00827961,0.102943,0.00675749
aeeem,org::apache::lucene::xmlparser::CoreParser,56.0,9,2,2,136.571,60.0,4.0,0,29.0,6.66667,1.0,0.444444,28.0,6.22222,69.35,1,1,0,0,0,7.67536,0.0494495,0.0676022,0.316053,0.13114
aeeem,org::apache::lucene::analysis::compound::hyphenation::HyphenationException,0.0,1,1,0,20.7143,1.0,1.0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0,1.18716,0.00167713,0.0103756,0.0486875,0.0417474
aeeem,org::apache::lucene::xmlparser::builders::FilteredQueryBuilder,13.0,3,2,0,136.0,18.0,5.0,0,16.0,6.0,3.0,1.66667,15.0,4.33333,49.4048,1,1,0,0,0,3.81153,0.0207318,0.0566197,0.210002,0.108541
aeeem,org::apache::lucene::benchmark::stats::MemUsage,-1.0,3,2,0,99.0,1.0,2.0,0,1.0,0.333333,1.0,0.666667,0.0,-0.333333,0.0,1,1,0,0,0,2.88097,0.00120628,0.0551741,0.187772,0.108062
aeeem,org::apache::lucene::index::ParallelReader,275.0,22,7,4,177.857,413.0,138.0,1,118.0,18.7727,23.0,6.27273,113.0,12.5,87.8565,15,15,0,0,0,19.4885,0.70161,0.0716809,0.563933,0.140551
aeeem,org::apache::lucene::store::ChecksumIndexInput,0.0,1,1,0,34.2857,1.0,1.0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0,1.12713,0.00181519,0.00645093,0.0393921,0.0217025
aeeem,org::apache::lucene::analysis::compound::DictionaryCompoundWordTokenFilter,0.0,1,1,0,20.7143,1.0,1.0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0,1.18716,0.00167713,0.0103756,0.0486875,0.0417474
aeeem,org::apache::lucene::store::SingleInstanceLockFactory,4.0,4,2,1,110.143,13.0,9.0,0,6.0,3.25,5.0,2.25,4.0,1.0,13.7802,3,3,0,0,0,4.99485,0.0137035,0.0132794,0.136452,0.0185345
aeeem,org::apache::lucene::analysis::ar::ArabicNormalizationFilter,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
aeeem,org::apache::lucene::analysis::StopAnalyzer,2.0,12,7,1,368.143,69.0,67.0,0,17.0,5.75,51.0,5.58333,17.0,0.166667,208.59,1,1,0,0,0,6.50047,0.0635998,0.0116065,0.159885,0.00705316
aeeem,org::apache::lucene::analysis::PerFieldAnalyzerWrapper,-2.0,9,6,2,262.857,59.0,61.0,0,16.0,6.55556,51.0,6.77778,14.0,-0.222222,104.37,2,2,0,0,0,6.08433,0.0968814,0.0113622,0.151484,0.00717911
aeeem,org::apache::lucene::index::IndexReader,891.0,95,13,19,368.143,1990.0,1099.0,2,132.0,20.9474,202.0,11.5684,98.0,9.37895,207.691,34,34,0,0,0,31.8654,1.82971,0.166162,1.03245,0.362861
aeeem,org::apache::lucene::wordnet::SynLookup,0.0,2,2,0,245.286,2.0,2.0,0,1.0,1.0,1.0,1.0,0.0,0.0,25.0714,0,0,0,0,0,0.740259,0.0094905,0.000755367,0.016145,4.53657e-06
aeeem,org::apache::lucene::queryParser::surround::parser::QueryParserTokenManager,0.0,1,1,0,170.143,1.0,1.0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1.03163,0.0042698,0.00120501,0.023183,2.18418e-05
aeeem,org::apache::lucene::analysis::ngram::EdgeNGramTokenFilter,2.0,3,3,0,82.1429,20.0,18.0,0,16.0,6.66667,16.0,6.0,2.0,0.666667,68.0,3,3,0,0,0,3.46561,0.0139708,0.0389238,0.155112,0.115967
aeeem,org::apache::lucene::search::ExtendedFieldCacheImpl,65.0,4,2,0,49.0,80.0,15.0,1,59.0,20.0,11.0,3.75,48.0,16.25,16.5536,3,3,0,0,0,4.85875,0.0677033,0.105557,3.41697,0.21549
aeeem,org::apache::lucene::benchmark::byTask::tasks::NewRoundTask,0.0,3,2,0,90.5714,45.0,45.0,0,43.0,15.0,43.0,15.0,0.0,0.0,10.9968,1,1,0,0,0,3.28866,0.013807,0.00774168,0.0876976,0.00527147
aeeem,org::apache::lucene::benchmark::byTask::stats::Points,-252.0,3,2,0,90.5714,92.0,344.0,0,85.0,30.6667,258.0,114.667,0.0,-84.0,11.0512,1,1,0,0,0,3.28866,0.0605032,0.00774168,0.0876976,0.00527147
aeeem,org::apache::lucene::analysis::miscellaneous::PrefixAwareTokenFilter,-28.0,2,2,0,14.0,16.0,44.0,0,15.0,8.0,43.0,22.0,0.0,-14.0,6.5625,2,2,0,0,0,2.35699,0.026903,0.0440601,0.140911,0.148302
aeeem,org::apache::lucene::queryParser::Token,43.0,2,2,0,264.857,56.0,13.0,0,55.0,28.0,12.0,6.5,43.0,21.5,257.041,1,1,0,0,0,1.23854,0.0331713,0.0519223,0.145898,0.106899
aeeem,org::apache::lucene::store::Lock,19.0,20,8,1,366.857,184.0,165.0,0,50.0,9.2,51.0,8.25,25.0,0.95,165.044,5,5,0,0,0,9.15338,0.0710578,0.0208316,0.239519,0.0219847
aeeem,org::apache::lucene::index::FreqProxTermsWriter,20.0,2,1,0,11.7143,61.0,41.0,1,60.0,30.5,40.0,20.5,20.0,10.0,2.52927,2,2,0,0,0,1.54522,0.0346251,0.0273145,0.0891453,0.0962259
aeeem,org::apache::lucene::analysis::compound::hyphenation::Hyphen,0.0,1,1,0,20.7143,1.0,1.0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0,1.18716,0.00167713,0.0103756,0.0486875,0.0417474
aeeem,org::apache::lucene::index::InvertedDocConsumerPerThread,0.0,1,1,0,11.7143,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
aeeem,org::apache::lucene::analysis::Analyzer,-10.0,11,8,1,368.143,78.0,88.0,0,28.0,7.09091,51.0,8.0,27.0,-0.909091,237.31,2,2,0,0,0,7.3729,0.0854729,0.0176392,0.194196,0.0254562
aeeem,org::apache::lucene::xmlparser::builders::LikeThisQueryBuilder,54.0,6,3,0,136.571,64.0,10.0,0,38.0,10.6667,5.0,1.66667,38.0,9.0,36.9531,2,2,0,0,0,7.36559,0.138294,0.0933122,0.361464,0.212374
aeeem,org::apache::lucene::xmlparser::builders::RangeFilterBuilder,13.0,3,2,0,136.571,18.0,5.0,0,16.0,6.0,3.0,1.66667,15.0,4.33333,49.9444,1,1,0,0,0,3.66829,0.0219196,0.0564034,0.206585,0.108521
aeeem,org::tartarus::snowball::ext::LovinsStemmer,0.0,1,1,0,6.57143,1.0,1.0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0,1.35264,0.000832763,0.0350566,0.101164,0.0995792
aeeem,org::apache::lucene::util::UnicodeUtil,0.0,1,1,0,28.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0,0.907447,0.00157841,0.00633487,0.0340785,0.0239308
aeeem,org::apache::lucene::document::NumberTools,1.0,5,5,1,202.143,13.0,12.0,0,6.0,2.6,5.0,2.4,1.0,0.2,59.011,1,1,0,0,0,2.83909,0.00755549,0.00795341,0.0788386,0.011542
aeeem,org::apache::lucene::search::ExactPhraseScorer,-36.0,10,7,1,368.143,39.0,75.0,0,13.0,3.9,51.0,7.5,3.0,-3.6,182.044,2,2,0,0,0,2.6029,0.0168352,0.0057418,0.0681672,0.00340696
aeeem,org::apache::lucene::store::FSDirectory,372.0,81,10,15,368.143,1262.0,890.0,1,128.0,15.5802,108.0,10.9877,51.0,4.59259,204.577,30,30,0,0,0,27.817,1.41357,0.146834,0.914975,0.314159
aeeem,org::apache::lucene::ant::TextDocument,0.0,2,1,1,325.857,2.0,2.0,0,1.0,1.0,1.0,1.0,0.0,0.0,39.7857,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
aeeem,org::apache::lucene::xmlparser::builders::SpanNotBuilder,3.0,3,1,0,136.571,25.0,22.0,0,16.0,8.33333,20.0,7.33333,15.0,1.0,30.8114,0,0,0,0,0,2.99495,0.0431902,0.00530023,0.0740352,0.00168471
aeeem,org::apache::lucene::store::instantiated::InstantiatedIndexReader,62.0,4,2,0,29.8571,122.0,60.0,0,119.0,30.5,57.0,15.0,62.0,15.5,15.2482,3,3,0,0,0,2.62836,0.142628,0.0658346,0.206049,0.160434
aeeem,org::tartarus::snowball::ext::PortugueseStemmer,0.0,1,1,0,6.57143,1.0,1.0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0,1.35264,0.000832763,0.0350566,0.101164,0.0995792
aeeem,org::apache::lucene::util::CloseableThreadLocal,9.0,2,1,0,3.42857,15.0,6.0,0,14.0,7.5,5.0,3.0,9.0,4.5,0.266667,2,2,0,0,0,1.23854,0.010397,0.0519223,0.145898,0.106899
aeeem,org::apache::lucene::index::FormatPostingsTermsWriter,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
aeeem,org::apache::lucene::index::MergeScheduler,3.0,4,1,0,55.1429,10.0,7.0,0,5.0,2.5,3.0,1.75,3.0,0.75,12.7143,6,6,0,0,0,3.38172,0.0124765,0.0152197,0.108803,0.0408162
aeeem,org::apache::lucene::index::TermInfo,-32.0,4,3,0,368.143,29.0,61.0,0,13.0,7.25,51.0,15.25,5.0,-8.0,152.256,0,0,0,0,0,1.64243,0.00391152,0.00325183,0.0418737,0.00116335
aeeem,org::apache::lucene::search::ComplexExplanation,0.0,5,5,2,119.286,11.0,11.0,0,6.0,2.2,5.0,2.2,1.0,0.0,47.7403,3,3,0,0,0,5.15836,0.0132306,0.0217915,0.158272,0.0603891
aeeem,org::apache::lucene::search::DocIdSetIterator,0.0,1,1,0,35.5714,1.0,1.0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0,1.17515,0.000669115,0.00634538,0.0402517,0.0203787
aeeem,org::apache::lucene::store::db::DbDirectory,0.0,3,1,0,247.0,3.0,3.0,0,1.0,1.0,1.0,1.0,0.0,0.0,24.2381,0,0,0,0,0,1.43177,0.0129918,0.00146826,0.0312605,9.22005e-06
aeeem,org::apache::lucene::search::CheckHits,0.0,3,2,0,200.429,3.0,3.0,0,1.0,1.0,1.0,1.0,0.0,0.0,44.8571,0,0,0,0,0,1.45008,0.00310247,0.00214814,0.0344245,0.00018773
aeeem,org::apache::lucene::index::Term,0.0,14,8,3,368.143,73.0,73.0,0,13.0,5.21429,51.0,5.21429,11.0,0.0,194.02,2,2,0,0,0,7.01764,0.0477485,0.0418079,0.233481,0.103884
aeeem,org::apache::lucene::demo::SearchFiles,164.0,13,8,2,349.571,338.0,174.0,0,151.0,26.0,51.0,13.3846,111.0,12.6154,231.055,2,2,0,0,0,7.70696,0.0988963,0.0235861,0.212649,0.0547781
aeeem,org::apache::lucene::demo::html::ParseException,0.0,3,2,1,264.857,8.0,8.0,0,6.0,2.66667,6.0,2.66667,0.0,0.0,220.839,2,2,0,0,0,2.76873,0.00606085,0.037311,0.137154,0.113602
aeeem,org::apache::lucene::queryParser::surround::query::NotQuery,1.0,2,2,0,170.143,7.0,6.0,0,6.0,3.5,5.0,3.0,1.0,0.5,60.2449,0,0,0,0,0,2.67407,0.00818132,0.00445684,0.0650567,0.00118519
aeeem,org::tartarus::snowball::Among,0.0,1,1,0,6.57143,1.0,1.0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0,1.35264,0.000832763,0.0350566,0.101164,0.0995792
aeeem,org::apache::lucene::search::NonMatchingScorer,1.0,2,2,0,193.286,7.0,6.0,0,6.0,3.5,5.0,3.0,1.0,0.5,80.0816,0,0,0,0,0,3.0742,0.0169033,0.00472009,0.0731342,0.00117257
aeeem,org::apache::lucene::index::TermVectorsTermsWriterPerThread,0.0,1,1,0,11.7143,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
aeeem,org::apache::lucene::search::Explanation,-18.0,7,5,4,299.286,49.0,67.0,0,25.0,7.0,51.0,9.57143,18.0,-2.57143,146.085,3,3,0,0,0,4.70913,0.0533872,0.0118167,0.126392,0.0158854
aeeem,org::apache::lucene::index::TermVectorsWriter,-85.0,14,8,3,241.714,340.0,425.0,0,126.0,24.2857,310.0,30.3571,52.0,-6.07143,115.235,6,6,0,0,0,7.52307,0.123177,0.0284878,0.226735,0.069843
aeeem,org::apache::lucene::search::spans::NearSpansOrdered,26.0,3,3,1,101.714,42.0,16.0,0,35.0,14.0,10.0,5.33333,25.0,8.66667,79.1939,2,2,0,0,0,3.71322,0.0223112,0.0360555,0.152729,0.10086
aeeem,org::apache::lucene::util::BitVector,64.0,11,6,1,368.143,142.0,78.0,0,75.0,12.9091,51.0,7.09091,68.0,5.81818,248.907,4,4,0,0,0,5.74394,0.0918801,0.019391,0.166227,0.0419916
aeeem,org::apache::lucene::search::regex::RegexTermEnum,0.0,2,1,0,151.571,2.0,2.0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.857143,0,0,0,0,0,1.3633,0.00348653,0.0017908,0.0314662,7.47148e-05
aeeem,org::apache::lucene::search::BoostingQuery,18.0,4,3,0,136.571,22.0,4.0,0,19.0,5.5,1.0,1.0,18.0,4.5,63.013,2,2,0,0,0,5.06437,0.0329868,0.0117325,0.134047,0.00916186
aeeem,org::apache::lucene::analysis::ngram::NGramTokenizer,0.0,5,2,0,93.7143,58.0,58.0,0,52.0,11.6,52.0,11.6,1.0,0.0,14.9483,3,3,0,0,0,4.74253,0.0496714,0.0881842,0.29526,0.209
aeeem,org::apache::lucene::queryParser::ParseException,-4.0,4,3,1,264.857,8.0,12.0,0,6.0,2.0,6.0,3.0,0.0,-1.0,220.839,3,3,0,0,0,4.00726,0.00804122,0.0892333,0.283052,0.220501
aeeem,org::apache::lucene::benchmark::byTask::feeds::NoMoreDataException,0.0,1,1,0,80.2857,1.0,1.0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0,1.48053,0.000280668,0.00365544,0.0399966,0.00285194
aeeem,org::apache::lucene::demo::html::HTMLParser,25.0,14,6,6,264.857,125.0,100.0,0,34.0,8.92857,28.0,7.14286,19.0,1.78571,56.4354,3,3,0,0,0,6.53022,0.0788933,0.0426173,0.225197,0.114191
aeeem,org::apache::lucene::queryParser::surround::query::BasicQueryFactory,1.0,2,2,0,170.143,7.0,6.0,0,6.0,3.5,5.0,3.0,1.0,0.5,60.2449,0,0,0,0,0,2.67407,0.00818132,0.00445684,0.0650567,0.00118519
aeeem,org::apache::lucene::analysis::br::BrazilianAnalyzer,0.0,9,3,1,250.143,9.0,9.0,0,1.0,1.0,1.0,1.0,0.0,0.0,19.0794,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
aeeem,org::apache::lucene::search::Similarity,412.0,28,11,5,368.143,694.0,282.0,0,250.0,24.7857,51.0,10.0714,204.0,14.7143,162.464,4,4,0,0,0,12.5926,0.433618,0.0302525,0.334176,0.0355882
aeeem,org::apache::lucene::search::highlight::SimpleFragmenter,0.0,1,1,0,234.714,1.0,1.0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
aeeem,org::apache::lucene::index::SegmentTermVector,-28.0,6,4,1,241.714,34.0,62.0,0,26.0,5.66667,49.0,10.3333,22.0,-4.66667,56.9538,1,1,0,0,0,2.88097,0.0053968,0.0551741,0.187772,0.108062
aeeem,org::apache::lucene::benchmark::Constants,0.0,2,2,0,99.0,1.0,1.0,0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0,0,0,0,0,1.64243,0.000711186,0.00325183,0.0418737,0.00116335
aeeem,org::apache::lucene::benchmark::byTask::tasks::WarmTask,7.0,4,3,0,90.5714,69.0,62.0,0,60.0,17.25,60.0,15.5,4.0,1.75,10.8944,1,1,0,0,0,3.28866,0.0191707,0.00774168,0.0876976,0.00527147
aeeem,org::apache::lucene::index::DefaultSkipListReader,0.0,3,1,0,70.8571,116.0,116.0,0,114.0,38.6667,114.0,38.6667,0.0,0.0,49.8498,2,2,0,0,0,2.55842,0.0486157,0.0156888,0.0899649,0.053001
aeeem,org::apache::lucene::analysis::el::GreekAnalyzer,0.0,3,3,0,180.286,4.0,4.0,0,3.0,1.33333,2.0,1.33333,1.0,0.0,131.893,2,2,0,0,0,2.5984,0.00740838,0.0534247,0.17608,0.106916
aeeem,org::apache::lucene::xmlparser::builders::SpanOrBuilder,15.0,2,1,0,136.571,17.0,2.0,0,16.0,8.5,1.0,1.0,15.0,7.5,45.042,0,0,0,0,0,2.42975,0.0199393,0.0044811,0.0606869,0.00162176
aeeem,org::apache::lucene::search::function::CustomScoreQuery,116.0,5,2,2,70.1429,172.0,56.0,0,165.0,34.4,49.0,11.2,116.0,23.2,27.4377,3,3,0,0,0,6.48196,0.155219,0.0523836,0.252522,0.150075
aeeem,org::apache::lucene::index::SortedTermVectorMapper,0.0,1,1,0,63.2857,1.0,1.0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0,1.17486,0.000965682,0.00361796,0.0337529,0.00505055
aeeem,org::apache::lucene::analysis::sinks::TokenTypeSinkTokenizer,0.0,2,2,0,43.7143,2.0,2.0,0,1.0,1.0,1.0,1.0,0.0,0.0,18.3571,2,2,0,0,0,2.76004,0.0020987,0.0375323,0.137482,0.115025
