dataset,feature_set,feature,defect_correlation
kc1,static,maxHALSTEAD_LENGTH,0.475214916605626
kc1,static,maxHALSTEAD_CONTENT,0.47128263877467597
kc1,static,maxNUM_OPERATORS,0.46923542036738364
kc1,static,avgNUM_UNIQUE_OPERANDS,0.46885396774208343
kc1,static,maxHALSTEAD_VOLUME,0.45910359754609914
kc1,static,maxHALSTEAD_ERROR_EST,0.45888116155693426
kc1,static,maxLOC_TOTAL,0.45726599540660057
kc1,static,maxLOC_EXECUTABLE,0.4500605147312212
kc1,static,avgHALSTEAD_CONTENT,0.4492116466860646
kc1,static,avgHALSTEAD_DIFFICULTY,0.44251464429562465
kc1,static,avgNUM_OPERANDS,0.4424574734979333
kc1,static,avgNUM_UNIQUE_OPERATORS,0.44194837879830057
kc1,static,avgHALSTEAD_LENGTH,0.43111887357739453
kc1,static,avgNUM_OPERATORS,0.42218540587379083
kc1,static,sumHALSTEAD_CONTENT,0.42192376813773164
kc1,static,avgHALSTEAD_VOLUME,0.41853544858208275
kc1,static,avgHALSTEAD_ERROR_EST,0.41740333078304886
kc1,static,sumNUM_UNIQUE_OPERANDS,0.4140797743103053
kc1,static,maxBRANCH_COUNT,0.4074917267189603
kc1,static,maxDESIGN_COMPLEXITY,0.4063667350968135
kc1,static,sumLOC_TOTAL,0.4061636716498328
kc1,static,sumLOC_EXECUTABLE,0.40602889868494985
kc1,static,maxCYCLOMATIC_COMPLEXITY,0.40308304328240846
kc1,static,avgLOC_TOTAL,0.3944498986326153
kc1,static,maxLOC_BLANK,0.3857579783573042
kc1,static,sumNUM_OPERANDS,0.38528589177288386
kc1,static,avgLOC_EXECUTABLE,0.3849266111630515
kc1,static,sumHALSTEAD_LENGTH,0.38366909736879823
kc1,static,sumNUM_OPERATORS,0.38185012021020526
kc1,static,maxESSENTIAL_COMPLEXITY,0.37887865618986183
kc1,static,sumHALSTEAD_VOLUME,0.3753913100344843
kc1,static,sumHALSTEAD_ERROR_EST,0.3748762794835538
kc1,static,sumNUM_UNIQUE_OPERATORS,0.37304562141894093
kc1,static,sumDESIGN_COMPLEXITY,0.372459113427304
kc1,static,maxHALSTEAD_EFFORT,0.36952855475218765
kc1,static,maxHALSTEAD_PROG_TIME,0.369528363664241
kc1,static,sumHALSTEAD_DIFFICULTY,0.3614126285481201
kc1,static,sumCYCLOMATIC_COMPLEXITY,0.35629150856576036
kc1,static,avgHALSTEAD_EFFORT,0.3550784236539566
kc1,static,avgHALSTEAD_PROG_TIME,0.3550782040923402
kc1,static,maxLOC_COMMENTS,0.35369614776922204
kc1,static,sumBRANCH_COUNT,0.34918190502148483
kc1,static,minHALSTEAD_LEVEL,-0.34556729915314827
kc1,static,sumESSENTIAL_COMPLEXITY,0.33180861745750173
kc1,static,sumLOC_BLANK,0.32383923738637244
kc1,static,avgBRANCH_COUNT,0.3120721602789392
kc1,static,avgLOC_BLANK,0.3085507347846251
kc1,static,avgCYCLOMATIC_COMPLEXITY,0.30685684761787113
kc1,static,avgDESIGN_COMPLEXITY,0.305807886144128
kc1,static,sumHALSTEAD_PROG_TIME,0.30354487707053734
kc1,static,sumHALSTEAD_EFFORT,0.30354478381827943
kc1,static,sumLOC_COMMENTS,0.2969529782990189
kc1,static,avgHALSTEAD_LEVEL,-0.2810193843662
kc1,static,avgLOC_COMMENTS,0.2777765293648299
kc1,static,avgESSENTIAL_COMPLEXITY,0.22418022078053404
kc1,static,sumHALSTEAD_LEVEL,0.20561514844783368
kc1,static,WEIGHTED_METHODS_PER_CLASS,0.19870987108294996
kc1,static,RESPONSE_FOR_CLASS,0.16427134129983245
kc1,static,minNUM_OPERANDS,-0.14357944339852427
kc1,static,DEP_ON_CHILD,0.1407605051622073
kc1,static,minNUM_UNIQUE_OPERANDS,-0.13407268061081778
kc1,static,minHALSTEAD_DIFFICULTY,-0.1253194423054048
kc1,static,maxLOC_CODE_AND_COMMENT,0.12517716163876325
kc1,static,FAN_IN,0.11985018044660639
kc1,static,minHALSTEAD_CONTENT,-0.11900909283118086
kc1,static,NUM_OF_CHILDREN,-0.11713492287476919
kc1,static,minHALSTEAD_PROG_TIME,-0.08796809844887754
kc1,static,minHALSTEAD_EFFORT,-0.08796221786274189
kc1,static,minLOC_EXECUTABLE,-0.08589104432034772
kc1,static,minHALSTEAD_VOLUME,-0.08132085049576777
kc1,static,minNUM_OPERATORS,-0.07651680858826403
kc1,static,minHALSTEAD_LENGTH,-0.07346604175624488
kc1,static,minNUM_UNIQUE_OPERATORS,-0.06743200728346106
kc1,static,minHALSTEAD_ERROR_EST,-0.0585692551626406
kc1,static,maxHALSTEAD_LEVEL,-0.03938921828999516
kc1,static,DEPTH,0.033500612258163795
kc1,static,PERCENT_PUB_DATA,-0.028938012102956386
kc1,static,avgLOC_CODE_AND_COMMENT,0.027048612464109077
kc1,static,minLOC_TOTAL,-0.008854427328552674
kc1,static,sumLOC_CODE_AND_COMMENT,0.0048110274105254485
kc1,static,LACK_OF_COHESION_OF_METHODS,-0.0013134913325096814
pc1,static,NUMBER_OF_LINES,0.35737637394757205
pc1,static,HALSTEAD_CONTENT,0.32854431229199293
pc1,static,NUM_UNIQUE_OPERANDS,0.32067888989495713
pc1,static,LOC_COMMENTS,0.3164216362867739
pc1,static,LOC_BLANK,0.3074843907407046
pc1,static,LOC_TOTAL,0.3013332547793832
pc1,static,LOC_EXECUTABLE,0.29048186145016286
pc1,static,HALSTEAD_VOLUME,0.2542721367902873
pc1,static,HALSTEAD_ERROR_EST,0.254247834776463
pc1,static,LOC_CODE_AND_COMMENT,0.25332583311570794
pc1,static,NUM_OPERATORS,0.24973516740630922
pc1,static,HALSTEAD_LENGTH,0.24855946840968762
pc1,static,NUM_OPERANDS,0.24503822776749482
pc1,static,NUM_UNIQUE_OPERATORS,0.2323335059720324
pc1,static,PERCENT_COMMENTS,0.22339805922298908
pc1,static,CYCLOMATIC_DENSITY,-0.20586608586359112
pc1,static,NORMALIZED_CYLOMATIC_COMPLEXITY,-0.19856683685567023
pc1,static,DESIGN_COMPLEXITY,0.16221016627281148
pc1,static,CYCLOMATIC_COMPLEXITY,0.16099696577056155
pc1,static,EDGE_COUNT,0.15420046647293112
pc1,static,BRANCH_COUNT,0.15156718668483488
pc1,static,NODE_COUNT,0.15087604804131713
pc1,static,CALL_PAIRS,0.14691080559286882
pc1,static,MULTIPLE_CONDITION_COUNT,0.13865671291493623
pc1,static,MODIFIED_CONDITION_COUNT,0.1375522728062543
pc1,static,CONDITION_COUNT,0.13440026608938158
pc1,static,DECISION_COUNT,0.1298171084322214
pc1,static,HALSTEAD_PROG_TIME,0.12392475070429157
pc1,static,HALSTEAD_EFFORT,0.1239247467212926
pc1,static,ESSENTIAL_COMPLEXITY,0.11382732063352015
pc1,static,HALSTEAD_LEVEL,-0.10886673314724472
pc1,static,HALSTEAD_DIFFICULTY,0.08479469010407119
pc1,static,PARAMETER_COUNT,-0.08406912819874914
pc1,static,MAINTENANCE_SEVERITY,-0.08049334608671645
pc1,static,DESIGN_DENSITY,0.02804302069526722
pc1,static,DECISION_DENSITY,-0.005439245557978809
pc1,static,ESSENTIAL_DENSITY,-0.004917263102417526
pc3,static,LOC_BLANK,0.3347268606415286
pc3,static,LOC_COMMENTS,0.27243961975813547
pc3,static,PERCENT_COMMENTS,0.24007491466431954
pc3,static,LOC_CODE_AND_COMMENT,0.22332007879459947
pc3,static,NUMBER_OF_LINES,0.19881839044694843
pc3,static,NUM_UNIQUE_OPERATORS,0.1736824887103947
pc3,static,MAINTENANCE_SEVERITY,-0.17285394001234503
pc3,static,CALL_PAIRS,0.17256903735530046
pc3,static,NUM_UNIQUE_OPERANDS,0.14916785983785819
pc3,static,DECISION_DENSITY,0.14164903817652588
pc3,static,NORMALIZED_CYLOMATIC_COMPLEXITY,-0.11998865809574284
pc3,static,LOC_TOTAL,0.11663178773383061
pc3,static,HALSTEAD_CONTENT,0.11516309226329963
pc3,static,CYCLOMATIC_DENSITY,-0.10238952937933843
pc3,static,HALSTEAD_LEVEL,-0.101926674467332
pc3,static,LOC_EXECUTABLE,0.10063079173458075
pc3,static,NODE_COUNT,0.08261997527786694
pc3,static,EDGE_COUNT,0.08195218989621737
pc3,static,DESIGN_COMPLEXITY,0.08043610960543926
pc3,static,CYCLOMATIC_COMPLEXITY,0.07840492186987047
pc3,static,DESIGN_DENSITY,-0.07815905984656239
pc3,static,NUM_OPERATORS,0.07587671044632721
pc3,static,BRANCH_COUNT,0.07570378885562717
pc3,static,HALSTEAD_LENGTH,0.07533864491953635
pc3,static,NUM_OPERANDS,0.07403239696648477
pc3,static,MULTIPLE_CONDITION_COUNT,0.07335868621352466
pc3,static,MODIFIED_CONDITION_COUNT,0.07219720319345159
pc3,static,HALSTEAD_DIFFICULTY,0.06932212181100546
pc3,static,CONDITION_COUNT,0.06615987308567763
pc3,static,DECISION_COUNT,0.05926734637398278
pc3,static,HALSTEAD_VOLUME,0.051697390718489195
pc3,static,HALSTEAD_ERROR_EST,0.05152724960870498
pc3,static,PARAMETER_COUNT,-0.046540708146374545
pc3,static,ESSENTIAL_COMPLEXITY,0.030266086534095682
pc3,static,ESSENTIAL_DENSITY,0.02324320902152296
pc3,static,HALSTEAD_PROG_TIME,-0.001011818934586492
pc3,static,HALSTEAD_EFFORT,-0.00101180831131199
